molecule	init_idx	gemnet_dT_traj0_energy	gemnet_dT_trajN_energy	gemnet_dT_energy_off_by_meV	gemnet_T_traj0_energy	gemnet_T_trajN_energy	gemnet_T_energy_off_by_meV
CH4OH2	491	-3184.1470310569507	-3184.1294045535765	17.626503374231106	-3184.1470310569507	-3184.1294045535765	17.626503374231106
C20H24	954	-21139.49714283003	-21138.20218983675	1294.9529932811856	-21139.49714283003	-21138.20218983675	1294.9529932811856
Cl8C10	1211	-110568.67097818793	-110567.82462168422	846.356503709103	-110568.67097818793	-110567.82462168422	846.356503709103
C6H12	1260	-6421.791059677997	-6421.377196896888	413.86278110894636	-6421.791059677997	-6421.377196896888	413.86278110894636
F2C6H4	2014	-11727.457120211024	-11727.65337222774	-196.25201671624382	-11727.457120211024	-11727.65337222774	-196.25201671624382
NC5H5	2060	-6759.768363038055	-6760.160109823699	-391.74678564359056	-6759.768363038055	-6760.160109823699	-391.74678564359056
Br3CH	2269	-211192.8746045942	-211192.54795439154	326.6502026526723	-211192.8746045942	-211192.54795439154	326.6502026526723
O2C9H6	2513	-13531.945919702794	-13531.082207101024	863.7126017692935	-13531.945919702794	-13531.082207101024	863.7126017692935
C17H22	2759	-17994.959381850585	-17992.78664410136	2172.737749224325	-17994.959381850585	-17992.78664410136	2172.737749224325
N2F4C8	2886	-22155.20406908426	-22154.99741649735	206.65258690860355	-22155.20406908426	-22154.99741649735	206.65258690860355
F3C2H3	2915	-10280.37720368	-10280.420448046827	-43.24436682691157	-10280.37720368	-10280.420448046827	-43.24436682691157
F8C12	3307	-34197.626718105166	-34197.40380958735	222.90851781872334	-34197.626718105166	-34197.40380958735	222.90851781872334
C2H2	3573	-2105.567380200731	-2105.6526186716965	-85.23847096557802	-2105.567380200731	-2105.6526186716965	-85.23847096557802
